"Step","shared_encoder_v2 - generated G distribution"
"102","{""_type"":""histogram"",""values"":[179,227,541,992,1690,2773,3972,5428,6836,7897,8862,9425,10344,10880,11424,11938,12754,13125,13773,14558,15182,15727,16668,17573,18254,19033,19949,20752,21827,22806,23923,24930,25824,26742,27717,28200,28969,29854,30406,31177,31502,31962,32378,33383,33691,34792,36257,37606,36948,33933,27969,21617,16711,11864,7402,3804,1807,1019,533,205,46,10,3,3],""bins"":[0,3.6015567779541016,7.203113555908203,10.804670333862305,14.406227111816406,18.007783889770508,21.60934066772461,25.21089744567871,28.812454223632812,32.414011001586914,36.015567779541016,39.61712455749512,43.21868133544922,46.82023811340332,50.42179489135742,54.02335166931152,57.624908447265625,61.22646522521973,64.82802200317383,68.42957878112793,72.03113555908203,75.63269233703613,79.23424911499023,82.83580589294434,86.43736267089844,90.03891944885254,93.64047622680664,97.24203300476074,100.84358978271484,104.44514656066895,108.04670333862305,111.64826011657715,115.24981689453125,118.85137367248535,122.45293045043945,126.05448722839355,129.65604400634766,133.25760078430176,136.85915756225586,140.46071434020996,144.06227111816406,147.66382789611816,151.26538467407227,154.86694145202637,158.46849822998047,162.07005500793457,165.67161178588867,169.27316856384277,172.87472534179688,176.47628211975098,180.07783889770508,183.67939567565918,187.28095245361328,190.88250923156738,194.48406600952148,198.0856227874756,201.6871795654297,205.2887363433838,208.8902931213379,212.491849899292,216.0934066772461,219.6949634552002,223.2965202331543,226.8980770111084,230.4996337890625]}"
"107","{""values"":[138,466,2415,10498,28537,50755,70236,79441,78955,73058,64416,54909,47465,40896,35687,31455,27942,25021,22829,21116,19243,17904,16594,15205,14452,13442,12701,11883,11204,10595,9895,9491,8959,8422,8285,7770,7270,6993,6739,6468,6103,5745,5478,5007,4855,4633,4241,3921,3615,3183,2764,2386,1987,1458,1097,843,579,386,273,154,69,37,11,1],""_type"":""histogram"",""bins"":[0,3.5817480087280273,7.163496017456055,10.745244026184082,14.32699203491211,17.908740043640137,21.490488052368164,25.07223606109619,28.65398406982422,32.235732078552246,35.81748008728027,39.3992280960083,42.98097610473633,46.562724113464355,50.14447212219238,53.72622013092041,57.30796813964844,60.889716148376465,64.47146415710449,68.05321216583252,71.63496017456055,75.21670818328857,78.7984561920166,82.38020420074463,85.96195220947266,89.54370021820068,93.12544822692871,96.70719623565674,100.28894424438477,103.8706922531128,107.45244026184082,111.03418827056885,114.61593627929688,118.1976842880249,121.77943229675293,125.36118030548096,128.94292831420898,132.524676322937,136.10642433166504,139.68817234039307,143.2699203491211,146.85166835784912,150.43341636657715,154.01516437530518,157.5969123840332,161.17866039276123,164.76040840148926,168.34215641021729,171.9239044189453,175.50565242767334,179.08740043640137,182.6691484451294,186.25089645385742,189.83264446258545,193.41439247131348,196.9961404800415,200.57788848876953,204.15963649749756,207.7413845062256,211.3231325149536,214.90488052368164,218.48662853240967,222.0683765411377,225.65012454986572,229.23187255859375]}"
"112","{""values"":[76,41,61,88,95,126,166,191,249,302,360,434,546,629,754,978,1049,1238,1497,1740,2000,2298,2725,3090,3623,4103,4658,5435,6362,7338,8343,9265,10706,12286,13779,16023,18529,21397,24476,28991,33031,38561,44418,50586,57582,63566,68922,72065,72743,69738,64167,56381,46656,36005,25416,16159,9135,4585,1890,644,221,42,14,2],""_type"":""histogram"",""bins"":[0,3.213787078857422,6.427574157714844,9.641361236572266,12.855148315429688,16.06893539428711,19.28272247314453,22.496509552001953,25.710296630859375,28.924083709716797,32.13787078857422,35.35165786743164,38.56544494628906,41.779232025146484,44.993019104003906,48.20680618286133,51.42059326171875,54.63438034057617,57.848167419433594,61.061954498291016,64.27574157714844,67.48952865600586,70.70331573486328,73.9171028137207,77.13088989257812,80.34467697143555,83.55846405029297,86.77225112915039,89.98603820800781,93.19982528686523,96.41361236572266,99.62739944458008,102.8411865234375,106.05497360229492,109.26876068115234,112.48254776000977,115.69633483886719,118.91012191772461,122.12390899658203,125.33769607543945,128.55148315429688,131.7652702331543,134.97905731201172,138.19284439086914,141.40663146972656,144.62041854858398,147.8342056274414,151.04799270629883,154.26177978515625,157.47556686401367,160.6893539428711,163.90314102172852,167.11692810058594,170.33071517944336,173.54450225830078,176.7582893371582,179.97207641601562,183.18586349487305,186.39965057373047,189.6134376525879,192.8272247314453,196.04101181030273,199.25479888916016,202.46858596801758,205.682373046875]}"
"117","{""_type"":""histogram"",""values"":[175,350,766,1643,3184,5476,8258,10961,13797,15931,17651,19279,20841,21690,22696,23767,24370,25295,26086,26604,27115,27557,28220,28662,28803,29120,28851,29398,29675,29984,29660,29370,29345,28894,28503,27949,27654,26907,26213,25701,24907,24900,24947,25128,24466,21338,16044,10760,7189,4622,2607,1605,1100,791,571,410,297,213,137,65,41,21,7,9],""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"122","{""values"":[169,257,527,1174,1929,3207,4761,6300,7483,8929,9940,10504,11442,12028,12611,13180,13804,14553,14997,15880,16524,17531,18475,18879,19920,20902,21515,22684,23692,24298,25289,26433,26852,27768,28432,28914,29456,29677,29591,30148,29743,29837,29550,29382,28942,29270,29631,31787,32500,31147,26902,21199,16695,11939,8306,5619,3166,1433,579,201,66,22,3,2],""_type"":""histogram"",""bins"":[0,3.5259766578674316,7.051953315734863,10.577929973602295,14.103906631469727,17.629883289337158,21.15585994720459,24.68183660507202,28.207813262939453,31.733789920806885,35.259766578674316,38.78574323654175,42.31171989440918,45.83769655227661,49.36367321014404,52.889649868011475,56.415626525878906,59.94160318374634,63.46757984161377,66.9935564994812,70.51953315734863,74.04550981521606,77.5714864730835,81.09746313095093,84.62343978881836,88.14941644668579,91.67539310455322,95.20136976242065,98.72734642028809,102.25332307815552,105.77929973602295,109.30527639389038,112.83125305175781,116.35722970962524,119.88320636749268,123.40918302536011,126.93515968322754,130.46113634109497,133.9871129989624,137.51308965682983,141.03906631469727,144.5650429725647,148.09101963043213,151.61699628829956,155.142972946167,158.66894960403442,162.19492626190186,165.7209029197693,169.24687957763672,172.77285623550415,176.29883289337158,179.824809551239,183.35078620910645,186.87676286697388,190.4027395248413,193.92871618270874,197.45469284057617,200.9806694984436,204.50664615631104,208.03262281417847,211.5585994720459,215.08457612991333,218.61055278778076,222.1365294456482,225.66250610351562]}"
"127","{""values"":[211,432,1065,2698,6497,13371,21629,27179,30660,32307,32761,32370,31579,31061,30020,28671,28178,26515,25780,24565,23845,23331,23016,22067,21925,21785,21623,21371,21443,21027,21226,20863,21086,20631,20307,20518,20136,19888,19856,18948,18914,18689,18687,18200,18638,17884,17420,16508,13915,11048,8445,6381,4557,2853,1655,980,629,353,196,103,44,28,6,2],""_type"":""histogram"",""bins"":[0,3.827057361602783,7.654114723205566,11.48117208480835,15.308229446411133,19.135286808013916,22.9623441696167,26.789401531219482,30.616458892822266,34.44351625442505,38.27057361602783,42.097630977630615,45.9246883392334,49.75174570083618,53.578803062438965,57.40586042404175,61.23291778564453,65.05997514724731,68.8870325088501,72.71408987045288,76.54114723205566,80.36820459365845,84.19526195526123,88.02231931686401,91.8493766784668,95.67643404006958,99.50349140167236,103.33054876327515,107.15760612487793,110.98466348648071,114.8117208480835,118.63877820968628,122.46583557128906,126.29289293289185,130.11995029449463,133.9470076560974,137.7740650177002,141.60112237930298,145.42817974090576,149.25523710250854,153.08229446411133,156.9093518257141,160.7364091873169,164.56346654891968,168.39052391052246,172.21758127212524,176.04463863372803,179.8716959953308,183.6987533569336,187.52581071853638,191.35286808013916,195.17992544174194,199.00698280334473,202.8340401649475,206.6610975265503,210.48815488815308,214.31521224975586,218.14226961135864,221.96932697296143,225.7963843345642,229.623441696167,233.45049905776978,237.27755641937256,241.10461378097534,244.93167114257812]}"
"132","{""_type"":""histogram"",""values"":[176,485,1733,6052,19932,47620,78715,91496,82557,71149,63410,58589,55004,51298,46577,41141,35960,30365,26405,21912,19033,16338,14113,12547,11181,10006,9232,8488,7705,7344,6764,6247,5887,5770,5407,5147,5026,4705,4682,4399,4140,4204,3913,3871,3733,3641,3421,3262,2959,2719,2485,2162,1895,1545,1258,881,686,489,291,194,108,56,34,32],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"137","{""_type"":""histogram"",""values"":[14,31,92,185,415,723,1264,2064,2988,3939,5346,6655,8095,9354,10780,12441,13517,14979,16052,17624,18598,19655,20360,21176,21447,22129,22689,23238,23236,23789,23999,24426,24976,25191,25686,26118,26765,26947,27411,28299,28691,29359,30067,30443,30895,30998,30528,30941,30643,30398,28541,26301,23103,19037,15257,11429,7969,5168,2923,1642,863,393,189,105],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"142","{""values"":[8,24,97,374,1231,3315,6506,10198,13763,16916,19730,22656,25351,28175,30883,33297,34391,34745,34060,32536,31356,29081,27274,25663,24261,22913,21918,20982,20465,19646,19244,19024,18791,18597,18357,18083,17805,18144,18323,18102,18539,18555,18991,19166,19605,19843,19796,20070,19851,18830,17581,15079,12719,10185,7712,5596,3957,2613,1643,952,520,263,129,96],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"147","{""values"":[9,49,219,1042,3386,8342,16841,25821,32488,36882,40896,44179,47304,49404,49222,48610,46735,42945,38972,35181,31272,28187,25209,22590,20340,18948,17601,16315,15386,14341,13606,13093,12755,12243,12040,11790,11675,11451,11063,11274,11113,11098,11131,10671,10837,10755,10362,10068,9467,9072,8468,7725,6807,5776,4744,3719,2553,1792,1208,728,394,206,96,80],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"152","{""values"":[84,231,733,2446,8270,19765,31520,39368,43923,46407,48041,49016,48872,48275,46084,43960,41646,39409,37000,34250,31909,29844,28072,26511,24693,23215,21486,20282,18734,17435,16281,15110,14198,13208,12329,11501,10557,9833,9055,8405,7819,7157,6515,6063,5430,4951,4324,3656,3080,2526,1839,1317,813,489,312,174,77,46,15,8,5,1,0,1],""_type"":""histogram"",""bins"":[0,3.984374761581421,7.968749523162842,11.953124284744263,15.937499046325684,19.921873807907104,23.906248569488525,27.890623331069946,31.874998092651367,35.85937285423279,39.84374761581421,43.82812237739563,47.81249713897705,51.79687190055847,55.78124666213989,59.76562142372131,63.749996185302734,67.73437094688416,71.71874570846558,75.703120470047,79.68749523162842,83.67186999320984,87.65624475479126,91.64061951637268,95.6249942779541,99.60936903953552,103.59374380111694,107.57811856269836,111.56249332427979,115.5468680858612,119.53124284744263,123.51561760902405,127.49999237060547,131.4843671321869,135.4687418937683,139.45311665534973,143.43749141693115,147.42186617851257,151.406240940094,155.39061570167542,159.37499046325684,163.35936522483826,167.34373998641968,171.3281147480011,175.31248950958252,179.29686427116394,183.28123903274536,187.26561379432678,191.2499885559082,195.23436331748962,199.21873807907104,203.20311284065247,207.1874876022339,211.1718623638153,215.15623712539673,219.14061188697815,223.12498664855957,227.109361410141,231.0937361717224,235.07811093330383,239.06248569488525,243.04686045646667,247.0312352180481,251.01560997962952,254.99998474121094]}"
